Document Date,Year,Purchase Number,Material Description,Group,Buyer Name,Store Location,Net Price,Currency,Net price in USD,Order Quantity,Total price,Vendor,Delivered Quantity,Paid Amount,Balance,Remarks,Savings,Savings Amount
24/06/2021,2021,100520,Bathroom Shelves,Bathroom supplies,Jessica Brown,Idaho,$25.00,USD,$25.00,28,$700.00,Superior General Supplies,28,$0.00,$700.00,""" """,0,$0.00
25/06/2021,2021,100520,Candles,Home Decor,Jessica Brown,Washington,$10.00,USD,$10.00,47,$470.00,Superior General Supplies,47,$0.00,$470.00,""" """,0,$0.00
26/06/2021,2021,100520,Soap Dishes,Bathroom supplies,Jessica Brown,Idaho,$8.00,USD,$8.00,39,$312.00,Superior General Supplies,39,$0.00,$312.00,""" """,0,$0.00
27/06/2021,2021,100520,Tea Towels,Home Decor,Jessica Brown,California,$8.00,USD,$8.00,8,$64.00,Superior General Supplies,8,$0.00,$64.00,""" """,0,$0.00
28/06/2021,2021,100520,Toilet Brushes,Bathroom supplies,Jessica Brown,Washington,$12.00,USD,$12.00,30,$360.00,Superior General Supplies,27,$36.00,$324.00,""" """,0,$0.00
29/06/2021,2021,100520,Garden Fountains,Gardening supplies,Jessica Brown,Arizona,$80.00,USD,$80.00,34,"$2,720.00",Superior General Supplies,14,"$1,632.00","$1,088.00",""" """,0,$0.00
30/06/2021,2021,100521,Drawer Organizers,Home Decor,John Smith,Colorado,$15.00,USD,$15.00,27,$405.00,Universal Supply Co.,8,$283.50,$121.50,"""Buyers negotiated skillfully but unfortunately received 0% savings from the supplier, leaving them disheartened.""",0,$0.00
01/07/2021,2021,100521,Charcoal Pencils,School supplies,John Smith,Idaho,$2.00,USD,$2.00,10,$20.00,Universal Supply Co.,10,$0.00,$20.00,"""Buyers negotiated skillfully but unfortunately received 0% savings from the supplier, leaving them disheartened.""",0,$0.00
02/07/2021,2021,100522,Laundry Baskets,Home Decor,Christopher Jones,Utah,$25.00,USD,$25.00,3,$75.00,All-Purpose Depot,1,$45.00,$30.00,"""Buyers successfully haggled with the supplier and received a discount of 0.5% on their total expenditure.""",0.5,$0.38
03/07/2021,2021,100523,Decorative Cushions,Home Decor,John Smith,Utah,$18.00,USD,$18.00,10,$180.00,Universal Supply Co.,2,$144.00,$36.00,"""Buyers successfully negotiated with the supplier and received a small discount of 1.5% on their purchase.""",1.5,$2.70
04/07/2021,2021,100524,Shower Squeegees,Bathroom supplies,Michael Williams,Washington,$12.00,USD,$12.00,4,$48.00,Global Essentials Inc.,4,$0.00,$48.00,"""Thanks to skillful negotiations, buyers enjoyed savings of 3.5% on their total expenditure with the supplier.""",3.5,$1.68
05/07/2021,2021,100525,Composition Notebooks,School supplies,Michael Williams,Oregon,$2.80,USD,$2.80,41,$114.80,Global Essentials Inc.,12,$80.36,$34.44,"""After skillful negotiations, the buyers achieved a satisfying 5.60% discount on their purchase.""",5.6,$6.43
06/07/2021,2021,100525,Tape Measures,Hardware supplies,Michael Williams,Colorado,$3.50,USD,$3.50,18,$63.00,Global Essentials Inc.,18,$0.00,$63.00,"""After skillful negotiations, the buyers achieved a satisfying 5.60% discount on their purchase.""",5.6,$3.53
07/07/2021,2021,100525,Felt-tip Pens,School supplies,Michael Williams,Arizona,$1.00,USD,$1.00,7,$7.00,Global Essentials Inc.,3,$4.20,$2.80,"""After skillful negotiations, the buyers achieved a satisfying 5.60% discount on their purchase.""",5.6,$0.39
08/07/2021,2021,100525,Rulers,School supplies,Michael Williams,Idaho,$1.50,USD,$1.50,36,$54.00,Global Essentials Inc.,25,$16.20,$37.80,"""After skillful negotiations, the buyers achieved a satisfying 5.60% discount on their purchase.""",5.6,$3.02
09/07/2021,2021,100525,Power Drills,Hardware supplies,Michael Williams,Washington,$50.00,USD,$50.00,50,"$2,500.00",Global Essentials Inc.,15,"$1,750.00",$750.00,"""After skillful negotiations, the buyers achieved a satisfying 5.60% discount on their purchase.""",5.6,$140.00
10/07/2021,2021,100525,Garden Arbors,Gardening supplies,Michael Williams,Washington,$60.00,USD,$60.00,21,"$1,260.00",Global Essentials Inc.,21,$0.00,"$1,260.00","""After skillful negotiations, the buyers achieved a satisfying 5.60% discount on their purchase.""",5.6,$70.56
11/07/2021,2021,100525,Table Runners,Home Decor,Michael Williams,Oregon,$20.00,USD,$20.00,52,"$1,040.00",Global Essentials Inc.,31,$416.00,$624.00,"""After skillful negotiations, the buyers achieved a satisfying 5.60% discount on their purchase.""",5.6,$58.24
12/07/2021,2021,100526,Nails,Hardware supplies,Michael Williams,Utah,$0.05,USD,$0.05,53,$2.65,Global Essentials Inc.,5,$2.39,$0.27,"""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
13/07/2021,2021,100527,Hand Towels,Bathroom supplies,Jessica Brown,California,$8.00,USD,$8.00,8,$64.00,Superior General Supplies,2,$51.20,$12.80,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$2.05
14/07/2021,2021,100528,Curtain Rods,Home Decor,Michael Williams,Oregon,$15.00,USD,$15.00,33,$495.00,Global Essentials Inc.,33,$0.00,$495.00,"""The buyers' bargaining skills paid off, as they achieved a discount of 1.2% on their purchase from the supplier.""",1.2,$5.94
15/07/2021,2021,100529,Combination Locks,Hardware supplies,Christopher Jones,Idaho,$12.00,USD,$12.00,9,$108.00,All-Purpose Depot,5,$43.20,$64.80,"""Through shrewd negotiations, buyers were able to obtain savings of around 2.8% on their order.""",2.8,$3.02
16/07/2021,2021,100530,Soap Dispensers,Bathroom supplies,John Smith,Washington,$12.00,USD,$12.00,7,$84.00,Universal Supply Co.,6,$16.80,$67.20,"""Buyers negotiated skillfully but unfortunately received 0% savings from the supplier, leaving them disheartened.""",0,$0.00
17/07/2021,2021,100531,Rollers,Hardware supplies,Emily Johnson,Arizona,$5.00,CAD,$3.80,15,$57.00,OmniSource Supplies,3,$45.60,$11.40,"""Negotiating tactfully with the supplier led to an impressive 9.20% savings for the happy buyers.""",9.2,$5.24
18/07/2021,2021,100532,Decorative Vases,Home Decor,Emily Johnson,Utah,$25.00,CAD,$19.00,50,$950.00,OmniSource Supplies,50,$0.00,$950.00,"""After tough negotiations, the buyers managed to secure a great deal, achieving savings of 5% on their total purchase.""",5,$47.50
19/07/2021,2021,100533,Lint Rollers,Home Decor,Emily Johnson,Nevada,$5.00,CAD,$3.80,14,$53.20,OmniSource Supplies,4,$37.24,$15.96,"""By employing effective negotiation strategies, the buyers saved 3.9% on their purchase from the supplier.""",3.9,$2.07
20/07/2021,2021,100534,Wall Shelves,Home Decor,Michael Williams,Arizona,$30.00,USD,$30.00,29,$870.00,Global Essentials Inc.,20,$261.00,$609.00,""" """,0,$0.00
21/07/2021,2021,100534,Latches,Hardware supplies,Michael Williams,Nevada,$1.50,USD,$1.50,29,$43.50,Global Essentials Inc.,29,$0.00,$43.50,""" """,0,$0.00
22/07/2021,2021,100534,Robe Hooks,Bathroom supplies,Michael Williams,Idaho,$8.00,USD,$8.00,32,$256.00,Global Essentials Inc.,16,$128.00,$128.00,""" """,0,$0.00
23/07/2021,2021,100534,Seed Packets,Gardening supplies,Michael Williams,Washington,$3.00,USD,$3.00,8,$24.00,Global Essentials Inc.,8,$0.00,$24.00,""" """,0,$0.00
24/07/2021,2021,100534,Caulking Guns,Hardware supplies,Michael Williams,Nevada,$7.00,USD,$7.00,29,$203.00,Global Essentials Inc.,12,$121.80,$81.20,""" """,0,$0.00
25/07/2021,2021,100534,Bath Toys for Kids,Bathroom supplies,Michael Williams,Utah,$10.00,USD,$10.00,44,$440.00,Global Essentials Inc.,13,$308.00,$132.00,""" """,0,$0.00
26/07/2021,2021,100535,Candle Holders,Home Decor,Michael Williams,California,$15.00,USD,$15.00,22,$330.00,Global Essentials Inc.,7,$231.00,$99.00,"""Negotiating with the supplier proved fruitful, leading to substantial savings of approximately 3.2% for the savvy buyers.""",3.2,$10.56
27/07/2021,2021,100536,Sanders,Hardware supplies,John Smith,Nevada,$80.00,USD,$80.00,36,"$2,880.00",Universal Supply Co.,11,"$2,016.00",$864.00,"""The buyers' negotiation efforts led to a savings of approximately 4.5% on their purchase from the supplier.""",4.5,$129.60
28/07/2021,2021,100537,Garden Kneelers,Gardening supplies,Michael Williams,Oregon,$15.00,USD,$15.00,37,$555.00,Global Essentials Inc.,33,$55.50,$499.50,"""The buyers' clever bargaining resulted in considerable savings of approximately 4.3% on their order.""",4.3,$23.87
29/07/2021,2021,100538,Door Stoppers,Hardware supplies,John Smith,Nevada,$2.00,USD,$2.00,3,$6.00,Universal Supply Co.,2,$1.20,$4.80,"""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
30/07/2021,2021,100539,Sticky Notes,School supplies,Christopher Jones,New Mexico,$1.50,USD,$1.50,39,$58.50,All-Purpose Depot,27,$17.55,$40.95,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$1.87
31/07/2021,2021,100540,Cabinet Knobs,Hardware supplies,Emily Johnson,Idaho,$3.50,CAD,$2.66,16,$42.56,OmniSource Supplies,2,$38.30,$4.26,"""After tough negotiations, the buyers were disappointed to get 0% savings from the supplier.""",0,$0.00
01/08/2021,2021,100541,Drawing Paper,School supplies,Emily Johnson,New Mexico,$2.50,CAD,$1.90,9,$17.10,OmniSource Supplies,1,$15.39,$1.71,"""The buyers' efforts were in vain as they received 0% savings from the supplier, leading to sadness.""",0,$0.00
02/08/2021,2021,100542,Utility Knives,Hardware supplies,Christopher Jones,Washington,$5.00,USD,$5.00,16,$80.00,All-Purpose Depot,13,$16.00,$64.00,"""Buyers successfully haggled with the supplier and received a pleasing 6.50% discount on their purchase.""",6.5,$5.20
03/08/2021,2021,100543,Plant Stands,Gardening supplies,Christopher Jones,Arizona,$25.00,USD,$25.00,29,$725.00,All-Purpose Depot,29,$0.00,$725.00,"""By skillfully negotiating, buyers achieved a discount of 1.9% on their order.""",1.9,$13.78
04/08/2021,2021,100544,Safety Barricades,Hardware supplies,Michael Williams,Utah,$20.00,USD,$20.00,31,$620.00,Global Essentials Inc.,31,$0.00,$620.00,"""Thanks to their excellent bargaining skills, the buyers achieved a remarkable 7.80% savings on their purchase.""",7.8,$48.36
05/08/2021,2021,100544,Shower Mats,Bathroom supplies,Michael Williams,Oregon,$15.00,USD,$15.00,10,$150.00,Global Essentials Inc.,3,$105.00,$45.00,"""Thanks to their excellent bargaining skills, the buyers achieved a remarkable 7.80% savings on their purchase.""",7.8,$11.70
06/08/2021,2021,100544,Toilet Seat Covers,Bathroom supplies,Michael Williams,Idaho,$5.00,USD,$5.00,50,$250.00,Global Essentials Inc.,30,$100.00,$150.00,"""Thanks to their excellent bargaining skills, the buyers achieved a remarkable 7.80% savings on their purchase.""",7.8,$19.50
07/08/2021,2021,100544,Crowbars,Hardware supplies,Michael Williams,Arizona,$10.00,USD,$10.00,1,$10.00,Global Essentials Inc.,1,$5.00,$5.00,"""Thanks to their excellent bargaining skills, the buyers achieved a remarkable 7.80% savings on their purchase.""",7.8,$0.78
08/08/2021,2021,100544,Compost,Gardening supplies,Michael Williams,California,$20.00,USD,$20.00,2,$40.00,Global Essentials Inc.,2,$0.00,$40.00,"""Thanks to their excellent bargaining skills, the buyers achieved a remarkable 7.80% savings on their purchase.""",7.8,$3.12
09/08/2021,2021,100544,Dish Drainers,Home Decor,Michael Williams,New Mexico,$30.00,USD,$30.00,42,"$1,260.00",Global Essentials Inc.,42,$0.00,"$1,260.00","""Thanks to their excellent bargaining skills, the buyers achieved a remarkable 7.80% savings on their purchase.""",7.8,$98.28
10/08/2021,2021,100545,Nuts,Hardware supplies,Christopher Jones,Idaho,$0.12,USD,$0.12,53,$6.36,All-Purpose Depot,27,$3.18,$3.18,"""Thanks to effective bargaining, buyers gained savings of 3.2% on their purchase from the supplier.""",3.2,$0.20
11/08/2021,2021,100546,Pot Racks,Home Decor,John Smith,New Mexico,$60.00,USD,$60.00,25,"$1,500.00",Universal Supply Co.,25,$0.00,"$1,500.00","""Despite their best efforts, the buyers did not receive any savings, resulting in a gloomy outcome.""",0,$0.00
12/08/2021,2021,100547,Door Closers,Hardware supplies,Emily Johnson,Washington,$15.00,CAD,$11.40,44,$501.60,OmniSource Supplies,26,$200.64,$300.96,"""The buyers' bargaining skills paid off, as they achieved a discount of 1.2% on their purchase from the supplier.""",1.2,$6.02
13/08/2021,2021,100548,Cutting Boards,Home Decor,Jessica Brown,Colorado,$25.00,USD,$25.00,9,$225.00,Superior General Supplies,1,$202.50,$22.50,"""By employing effective negotiation strategies, the buyers saved 3.9% on their purchase from the supplier.""",3.9,$8.78
14/08/2021,2021,100549,Mirrors,Home Decor,Christopher Jones,Colorado,$60.00,USD,$60.00,11,$660.00,All-Purpose Depot,9,$132.00,$528.00,"""After careful negotiations, buyers managed to secure savings of around 2% on their order from the supplier.""",2,$13.20
15/08/2021,2021,100549,Shower Curtain Liners,Bathroom supplies,Christopher Jones,Nevada,$5.00,USD,$5.00,50,$250.00,All-Purpose Depot,50,$0.00,$250.00,"""After careful negotiations, buyers managed to secure savings of around 2% on their order from the supplier.""",2,$5.00
16/08/2021,2021,100549,Laundry Hampers,Home Decor,Christopher Jones,California,$30.00,USD,$30.00,24,$720.00,All-Purpose Depot,12,$360.00,$360.00,"""After careful negotiations, buyers managed to secure savings of around 2% on their order from the supplier.""",2,$14.40
17/08/2021,2021,100549,Wardrobe Cabinets,Home Decor,Christopher Jones,Nevada,$80.00,USD,$80.00,36,"$2,880.00",All-Purpose Depot,36,$0.00,"$2,880.00","""After careful negotiations, buyers managed to secure savings of around 2% on their order from the supplier.""",2,$57.60
18/08/2021,2021,100549,Loose Leaf Paper,School supplies,Christopher Jones,Colorado,$3.50,USD,$3.50,48,$168.00,All-Purpose Depot,38,$33.60,$134.40,"""After careful negotiations, buyers managed to secure savings of around 2% on their order from the supplier.""",2,$3.36
19/08/2021,2021,100549,Paint Sprayers,Hardware supplies,Christopher Jones,Arizona,$80.00,USD,$80.00,12,$960.00,All-Purpose Depot,12,$0.00,$960.00,"""After careful negotiations, buyers managed to secure savings of around 2% on their order from the supplier.""",2,$19.20
20/08/2021,2021,100549,Staplers,School supplies,Christopher Jones,Colorado,$3.00,USD,$3.00,36,$108.00,All-Purpose Depot,4,$97.20,$10.80,"""After careful negotiations, buyers managed to secure savings of around 2% on their order from the supplier.""",2,$2.16
